Date,Temp1,Intensity1,Temp2,Intensity2,Temp3,Intensity3
10/21/22,81.266,152,80.382,240,80.735,184
10/21/22,87.552,7680,88.282,800,88.466,864
10/21/22,82.864,0,82.864,0,82.686,0
10/22/22,80.029,0,79.853,0,80.029,0
10/22/22,80.382,160,79.853,400,79.853,576
10/22/22,86.097,1344,87.186,864,87.186,608
10/22/22,81.266,0,81.09,0,81.09,0
10/23/22,78.449,0,78.274,0,78.449,0
10/23/22,78.624,102,78.449,78,78.449,104
10/23/22,83.935,1024,84.295,368,83.935,512
10/23/22,80.029,0,79.678,0,80.029,0
10/24/22,77.923,0,77.923,0,77.923,0
10/24/22,78.975,136,78.449,92,78.624,110
10/24/22,87.733,2176,87.186,448,87.552,800
10/24/22,80.206,0,77.05,0,79.678,0
10/25/22,78.274,0,78.098,0,78.449,0
10/25/22,78.975,117,78.624,94,78.8,128
10/25/22,85.554,896,87.186,896,85.374,1344
10/25/22,80.206,0,77.4,0,79.326,0
10/26/22,78.449,0,78.274,0,78.8,0
10/26/22,79.326,48,78.975,42,79.151,36
10/26/22,87.368,704,86.277,4096,85.554,448
10/26/22,80.029,0,77.05,0,79.853,0
10/27/22,79.151,0,78.975,0,79.151,0
10/27/22,79.502,464,78.975,248,79.326,128
10/27/22,85.554,2688,85.735,4608,85.554,2048
10/27/22,80.029,0,76.528,0,80.029,0
10/28/22,77.923,0,77.923,0,78.098,0
10/28/22,78.8,272,78.624,39,78.8,87
10/28/22,85.014,864,85.194,368,85.374,704
10/28/22,80.735,0,80.559,0,80.559,0
10/29/22,77.574,0,77.225,0,77.574,0
10/29/22,78.975,117,78.274,168,78.449,152
10/29/22,85.915,704,86.823,1216,85.915,608
10/29/22,80.911,0,80.559,0,80.735,0
10/30/22,77.749,0,77.4,0,77.749,0
10/30/22,78.274,152,77.923,120,78.449,160
10/30/22,85.554,1152,86.097,512,85.915,800
10/30/22,80.206,0,80.029,0,80.206,0
10/31/22,78.098,0,78.098,0,78.274,0
10/31/22,78.8,184,78.274,576,78.449,100
10/31/22,84.834,448,84.295,512,84.834,272
10/31/22,80.735,0,80.382,0,80.559,0
11/1/22,77.923,0,77.749,0,77.923,0
11/1/22,78.449,256,78.098,115,78.274,97
11/1/22,84.834,768,84.834,1280,84.834,3200
11/1/22,80.911,0,80.559,0,80.735,0
11/2/22,78.449,0,78.274,0,78.449,0
11/2/22,79.151,336,79.326,111,79.326,272
11/2/22,84.115,168,84.654,368,84.834,896
11/2/22,79.678,0,79.326,0,79.502,0
11/3/22,78.098,0,77.923,0,78.098,0
11/3/22,78.8,128,78.449,89,78.624,232
11/3/22,82.33,576,81.975,216,81.975,512
11/3/22,78.975,0,78.8,0,78.8,0
11/4/22,78.449,0,78.274,0,78.624,0
11/4/22,79.502,672,79.502,98,79.326,320
11/4/22,83.043,768,82.33,368,82.33,992
11/4/22,78.624,0,78.274,0,78.449,0
11/5/22,78.624,0,78.449,0,78.624,0
11/5/22,78.274,192,78.098,71,78.274,128
11/5/22,83.935,464,83.221,480,82.864,1024
11/5/22,79.326,0,79.151,0,79.326,0
11/6/22,77.749,0,77.574,0,77.749,0
11/6/22,77.923,400,77.574,52,77.749,152
11/6/22,83.579,512,83.399,464,82.864,1344
11/6/22,76.006,0,75.484,0,75.659,0
11/7/22,77.4,0,77.225,0,77.4,0
11/7/22,77.749,224,77.225,208,77.574,208
11/7/22,83.221,608,83.043,400,82.686,1344
11/7/22,76.354,0,75.312,0,75.139,0
11/8/22,77.225,0,77.05,0,77.4,0
11/8/22,78.098,104,77.749,90,77.923,115
11/8/22,83.579,864,83.043,336,83.221,1152
11/8/22,75.139,0,74.964,0,74.619,0
11/9/22,76.703,0,76.703,0,77.225,0
